,Retailer country,Product,correlation,slope
2360,Canada,Canyon Mule Carryall,,0.0
2364,Canada,Canyon Mule Climber Backpack,,0.0
2368,Canada,Canyon Mule Cooler,-0.48501155332838813,-0.005729099528781574
2372,Canada,Canyon Mule Extreme Backpack,,0.0
2376,Canada,Canyon Mule Journey Backpack,0.2672085574553084,1.221231015786706e-16
2380,Canada,Canyon Mule Weekender Backpack,,0.0
2384,Canada,Capri,0.68173006862427,0.0012139880870536608
2388,Canada,Cat Eye,-0.03673672774726693,-0.002408551186520368
2392,Canada,Compact Relief Kit,,0.0
2396,Canada,Course Pro Gloves,,0.0
2400,Canada,Course Pro Golf Bag,-0.1837286891649539,2.0353850263111767e-17
2404,Canada,Course Pro Golf and Tee Set,,0.0
2408,Canada,Course Pro Putter,-0.799514695334285,-0.02451338460877411
2412,Canada,Course Pro Umbrella,,0.0
2416,Canada,Dante,-0.5518157997058301,0.00816281402149367
2420,Canada,Deluxe Family Relief Kit,,0.0
2424,Canada,Double Edge,,0.0
2428,Canada,Edge Extreme,-0.1167359025085683,1.0176925131555884e-17
2432,Canada,EverGlow Butane,,0.0
2436,Canada,EverGlow Double,,0.0
2440,Canada,EverGlow Kerosene,,0.0
2444,Canada,EverGlow Lamp,,0.0
2448,Canada,EverGlow Single,0.5420987899737101,0.00257809478795171
2452,Canada,Fairway,-0.08512193224657742,0.0026608484474140316
2456,Canada,Firefly 2,,0.0
2460,Canada,Firefly 4,,0.0
2464,Canada,Firefly Charger,,
2468,Canada,Firefly Climbing Lamp,,
2472,Canada,Firefly Extreme,0.3571770238237422,0.011458199057563142
2476,Canada,Firefly Lite,,0.0
2480,Canada,Firefly Mapreader,,0.0
2484,Canada,Firefly Multi-light,-0.5479404003210492,-7.632693848666912e-18
2488,Canada,Firefly Rechargeable Battery,,
2492,Canada,Flicker Lantern,,0.0
2496,Canada,Glacier Basic,,0.0
2500,Canada,Glacier Deluxe,,0.0
2504,Canada,Glacier GPS,-0.9864298983815064,-0.03809135049198643
2508,Canada,Glacier GPS Extreme,,0.0
2512,Canada,Granite Axe,,
2516,Canada,Granite Belay,,
2520,Canada,Granite Carabiner,,
2524,Canada,Granite Chalk Bag,,
2528,Canada,Granite Climbing Helmet,,
2532,Canada,Granite Extreme,,
2536,Canada,Granite Grip,,
2540,Canada,Granite Hammer,,
2544,Canada,Granite Ice,,
2548,Canada,Granite Pulley,,
2552,Canada,Granite Shovel,,
2556,Canada,Granite Signal Mirror,,
2560,Canada,Hailstorm Steel Irons,-0.6114500437721706,-0.36361878571735484
2564,Canada,Hailstorm Steel Woods Set,-0.668635403188667,-1.0
2568,Canada,Hailstorm Titanium Irons,,0.0
2572,Canada,Hailstorm Titanium Woods Set,,0.0
2576,Canada,Hawk Eye,0.6983786604841083,0.0056491936686288895
2580,Canada,Hibernator,,0.0
2584,Canada,Hibernator Camp Cot,,0.0
2588,Canada,Hibernator Extreme,,0.0
2592,Canada,Hibernator Lite,-0.597778223676025,-4.0707700526223535e-17
2596,Canada,Hibernator Pad,0.9829779265631919,0.008593649293172346
2600,Canada,Hibernator Pillow,,0.0
2604,Canada,Hibernator Self - Inflating Mat,-0.5927296387076979,-3.053077539466765e-17
2608,Canada,Husky Harness,,
2612,Canada,Husky Harness Extreme,,
2616,Canada,Husky Rope 100,,
2620,Canada,Husky Rope 200,,
2624,Canada,Husky Rope 50,,
2628,Canada,Husky Rope 60,,
2632,Canada,Inferno,0.8016937728561896,0.00980008082804584
2636,Canada,Infinity,0.24787251863949405,0.02974720061874275
2640,Canada,Insect Bite Relief,,0.0
2644,Canada,Kodiak,-0.3996424729595464,0.025867586974892238
2648,Canada,Lady Hailstorm Steel Irons,,0.0
2652,Canada,Lady Hailstorm Steel Woods Set,,0.0
2656,Canada,Lady Hailstorm Titanium Irons,,0.0
2660,Canada,Lady Hailstorm Titanium Woods Set,,0.0
2664,Canada,Legend,0.2238280068642908,0.05174287157984701
2668,Canada,Lux,0.941227808674181,0.01703810033801686
2672,Canada,Max Gizmo,0.8019520801151153,0.006238105705466972
2676,Canada,Maximus,0.6874248975226043,0.016899732917734913
2680,Canada,Mountain Man Analog,,0.0
2684,Canada,Mountain Man Combination,,0.0
2688,Canada,Mountain Man Deluxe,,0.0
2692,Canada,Mountain Man Digital,,0.0
2696,Canada,Mountain Man Extreme,,0.0
2700,Canada,Opera Vision,,
2704,Canada,Pocket Gizmo,0.3762744445744912,0.0020051848350735543
2708,Canada,Polar Extreme,,0.0
2712,Canada,Polar Ice,-0.9741114649479845,-0.0018414962617625626
2716,Canada,Polar Sports,,0.0
2720,Canada,Polar Sun,-0.288833772846135,0.0
2724,Canada,Polar Wave,,0.0
2728,Canada,Ranger Vision,0.8871936946265453,0.02487603839928959
2732,Canada,Retro,,
2736,Canada,Sam,0.9871472511788073,0.0066707139066729615
2740,Canada,Seeker 35,,0.0
2744,Canada,Seeker 50,,0.0
2748,Canada,Seeker Extreme,,0.0
2752,Canada,Seeker Mini,,0.0
2756,Canada,Single Edge,,0.0
2760,Canada,Sky Pilot,,
2764,Canada,Star Dome,,0.0
2768,Canada,Star Gazer 2,,0.0
2772,Canada,Star Gazer 3,0.43917780044978294,0.19226858018590928
2776,Canada,Star Gazer 6,,0.0
2780,Canada,Star Lite,-0.27586018246814914,-1.221231015786706e-16
2784,Canada,Star Peg,,0.0
2788,Canada,Sun Blocker,,0.0
2792,Canada,Sun Shelter 15,0.5759878552874871,-0.00012890473939758436
2796,Canada,Sun Shelter 30,,0.0
2800,Canada,Sun Shelter Stick,,0.0
2804,Canada,Sun Shield,,0.0
2808,Canada,TX,0.22043927718121392,0.020427513803549208
2812,Canada,Trail Master,,
2816,Canada,Trail Scout,,
2820,Canada,Trail Star,,
2824,Canada,TrailChef Canteen,0.5506867895193521,0.005070253082971687
2828,Canada,TrailChef Cook Set,,0.0
2832,Canada,TrailChef Cup,,0.0
2836,Canada,TrailChef Deluxe Cook Set,,0.0
2840,Canada,TrailChef Double Flame,,0.0
2844,Canada,TrailChef Kettle,,0.0
2848,Canada,TrailChef Kitchen Kit,,0.0
2852,Canada,TrailChef Single Flame,,0.0
2856,Canada,TrailChef Utensils,,0.0
2860,Canada,TrailChef Water Bag,,0.0
2864,Canada,Trendi,0.19039839438623907,0.002724307056460281
2868,Canada,Venue,0.5079180739487927,0.006569197369865887
2872,Canada,Zodiak,0.07986316935472101,
2876,Canada,Zone,-0.152444452052584,0.009474577339262954
2880,China,Aloe Relief,,0.0
2884,China,Astro Pilot,-0.11096262934509682,
2888,China,Auto Pilot,,
2892,China,Bear Edge,,0.0
2896,China,Bear Survival Edge,,0.0
2900,China,Bella,0.7668125118065503,0.0058256702079662985
2904,China,Blue Steel Max Putter,,0.0
2908,China,Blue Steel Putter,0.07006259658440239,-0.021484123232930863
2912,China,BugShield Extreme,,0.0
2916,China,BugShield Lotion,,0.0
2920,China,BugShield Lotion Lite,,0.0
2924,China,BugShield Natural,,0.0
2928,China,BugShield Spray,,0.0
2932,China,Calamine Relief,,0.0
2936,China,Canyon Mule Carryall,,0.0
2940,China,Canyon Mule Climber Backpack,,0.0
2944,China,Canyon Mule Cooler,0.24965612349341143,-0.005729099528781574
2948,China,Canyon Mule Extreme Backpack,,0.0
2952,China,Canyon Mule Journey Backpack,,0.0
2956,China,Canyon Mule Weekender Backpack,,0.0
2960,China,Capri,0.7041739606256712,0.0017848348515447114
2964,China,Cat Eye,0.21591194393983668,-0.0021430890266259882
2968,China,Compact Relief Kit,,0.0
2972,China,Course Pro Gloves,,0.0
2976,China,Course Pro Golf Bag,-0.3763044747874176,-8.141540105244707e-17
2980,China,Course Pro Golf and Tee Set,,0.0
2984,China,Course Pro Putter,-0.6890844853631047,-0.02451338460877411
2988,China,Course Pro Umbrella,,0.0
2992,China,Dante,-0.19924401587367496,0.008091266256319923
2996,China,Deluxe Family Relief Kit,,0.0
3000,China,Double Edge,,0.0
3004,China,Edge Extreme,,0.0
3008,China,EverGlow Butane,,0.0
3012,China,EverGlow Double,,0.0
3016,China,EverGlow Kerosene,,0.0
3020,China,EverGlow Lamp,,0.0
3024,China,EverGlow Single,0.97773600817381,0.00257809478795171
3028,China,Fairway,-0.13125939134522077,0.002600034260015187
3032,China,Firefly 2,,0.0
3036,China,Firefly 4,,0.0
3040,China,Firefly Charger,,
3044,China,Firefly Climbing Lamp,,
3048,China,Firefly Extreme,0.9141658889653177,0.011458199057563128
3052,China,Firefly Lite,,0.0
3056,China,Firefly Mapreader,,0.0
3060,China,Firefly Multi-light,,0.0
3064,China,Firefly Rechargeable Battery,,
3068,China,Flicker Lantern,,0.0
3072,China,Glacier Basic,,0.0
3076,China,Glacier Deluxe,,0.0
3080,China,Glacier GPS,-0.7126640813874331,-0.03809135049198643
3084,China,Glacier GPS Extreme,,0.0
3088,China,Granite Axe,,
3092,China,Granite Belay,,
3096,China,Granite Carabiner,,
3100,China,Granite Chalk Bag,,
3104,China,Granite Climbing Helmet,,
3108,China,Granite Extreme,,
3112,China,Granite Grip,,
3116,China,Granite Hammer,,
3120,China,Granite Ice,,
3124,China,Granite Pulley,,
3128,China,Granite Shovel,,
3132,China,Granite Signal Mirror,,
3136,China,Hailstorm Steel Irons,-0.4169270509882703,-0.36361878571735484
3140,China,Hailstorm Steel Woods Set,-0.49754764613127633,-1.0
3144,China,Hailstorm Titanium Irons,-0.4384725585436267,-3.256616042097883e-16
3148,China,Hailstorm Titanium Woods Set,,0.0
3152,China,Hawk Eye,0.6586331690070621,0.005610529562153581
3156,China,Hibernator,,0.0
3160,China,Hibernator Camp Cot,,0.0
3164,China,Hibernator Extreme,,0.0
3168,China,Hibernator Lite,0.6374331642876482,1.0176925131555884e-17
3172,China,Hibernator Pad,-0.12222216077886146,0.008593649293172346
3176,China,Hibernator Pillow,,0.0
3180,China,Hibernator Self - Inflating Mat,,0.0
3184,China,Husky Harness,,
3188,China,Husky Harness Extreme,,
3192,China,Husky Rope 100,,
3196,China,Husky Rope 200,,
3200,China,Husky Rope 50,,
3204,China,Husky Rope 60,,
3208,China,Inferno,0.5489332893467984,0.01025751753104457
3212,China,Infinity,0.21805804113557276,0.018446289512883327
3216,China,Insect Bite Relief,,0.0
3220,China,Kodiak,-0.23279485437798064,0.028032726836534516
3224,China,Lady Hailstorm Steel Irons,,0.0
3228,China,Lady Hailstorm Steel Woods Set,,0.0
3232,China,Lady Hailstorm Titanium Irons,,0.0
3236,China,Lady Hailstorm Titanium Woods Set,,0.0
3240,China,Legend,0.2436647862871594,0.04736170981394746
3244,China,Lux,0.8261124814555917,0.009484094515819507
3248,China,Max Gizmo,0.7305406428155011,0.00680914044887494
3252,China,Maximus,0.6806840233850819,0.016658176996949273
3256,China,Mountain Man Analog,,0.0
3260,China,Mountain Man Combination,,0.0
3264,China,Mountain Man Deluxe,,0.0
3268,China,Mountain Man Digital,,0.0
3272,China,Mountain Man Extreme,,0.0
3276,China,Opera Vision,,
3280,China,Pocket Gizmo,0.7561715911786401,0.0020051848350735504
3284,China,Polar Extreme,,0.0
3288,China,Polar Ice,-0.58596840413386,-0.0032226184849396297
3292,China,Polar Sports,,0.0
3296,China,Polar Sun,,0.0
3300,China,Polar Wave,,0.0
3304,China,Ranger Vision,-0.020034127704318165,0.024142749681318854
3308,China,Retro,,
3312,China,Sam,0.9518485716911688,0.006577855017975048
3316,China,Seeker 35,,0.0
3320,China,Seeker 50,,0.0
3324,China,Seeker Extreme,,0.0
3328,China,Seeker Mini,,0.0
3332,China,Single Edge,,0.0
3336,China,Sky Pilot,,
3340,China,Star Dome,,0.0
3344,China,Star Gazer 2,,0.0
3348,China,Star Gazer 3,0.5032650846559202,0.19226858018590928
3352,China,Star Gazer 6,,0.0
3356,China,Star Lite,0.6400758413714885,1.6283080210489414e-16
3360,China,Star Peg,,0.0
3364,China,Sun Blocker,,0.0
3368,China,Sun Shelter 15,0.7147741618379828,-0.00012890473939758436
3372,China,Sun Shelter 30,,0.0
3376,China,Sun Shelter Stick,,0.0
3380,China,Sun Shield,,0.0
3384,China,TX,-0.5695187879370824,0.00836338725848271
3388,China,Trail Master,,
3392,China,Trail Scout,,
3396,China,Trail Star,,
3400,China,TrailChef Canteen,0.7831576814455529,0.005070253082971687
3404,China,TrailChef Cook Set,,0.0
3408,China,TrailChef Cup,,0.0
3412,China,TrailChef Deluxe Cook Set,,0.0
3416,China,TrailChef Double Flame,,0.0
3420,China,TrailChef Kettle,,0.0
3424,China,TrailChef Kitchen Kit,,0.0
3428,China,TrailChef Single Flame,,0.0
3432,China,TrailChef Utensils,,0.0
3436,China,TrailChef Water Bag,,0.0
3440,China,Trendi,0.1792797032338119,0.00357171867614832
3444,China,Venue,0.5203116098119743,0.006570276837250603
3448,China,Zodiak,0.28689351445823524,
3452,China,Zone,-0.19224405400578046,0.009070901631361077
3456,Denmark,Aloe Relief,,0.0
3460,Denmark,Astro Pilot,-0.71550121485276,
3464,Denmark,Auto Pilot,,
3468,Denmark,Bear Edge,,
3472,Denmark,Bear Survival Edge,,
3476,Denmark,Bella,0.5682913144246656,0.003189722733066937
3480,Denmark,Blue Steel Max Putter,,0.0
3484,Denmark,Blue Steel Putter,-0.22364795149075264,-0.021484123232930863
3488,Denmark,BugShield Extreme,,0.0
3492,Denmark,BugShield Lotion,,0.0
3496,Denmark,BugShield Lotion Lite,,0.0
3500,Denmark,BugShield Natural,,0.0
3504,Denmark,BugShield Spray,,0.0
3508,Denmark,Calamine Relief,,0.0
3512,Denmark,Canyon Mule Carryall,,0.0
3516,Denmark,Canyon Mule Climber Backpack,,0.0
3520,Denmark,Canyon Mule Cooler,-0.7578280314784959,-0.005729099528781574
3524,Denmark,Canyon Mule Extreme Backpack,,0.0
3528,Denmark,Canyon Mule Journey Backpack,0.7673295035790157,1.221231015786706e-16
3532,Denmark,Canyon Mule Weekender Backpack,,0.0
3536,Denmark,Capri,0.7035352575430424,0.0016072809693636438
3540,Denmark,Cat Eye,-0.22816643743625697,-0.006997322981566621
3544,Denmark,Compact Relief Kit,,0.0
3548,Denmark,Course Pro Gloves,,0.0
3552,Denmark,Course Pro Golf Bag,-0.3811151075975487,-6.10615507893353e-17
3556,Denmark,Course Pro Golf and Tee Set,,0.0
3560,Denmark,Course Pro Putter,0.6398222358437997,-0.02451338460877411
3564,Denmark,Course Pro Umbrella,,0.0
3568,Denmark,Dante,-0.43597854002502473,0.00922028989601684
3572,Denmark,Deluxe Family Relief Kit,,0.0
3576,Denmark,Double Edge,,0.0
3580,Denmark,Edge Extreme,,0.0
3584,Denmark,EverGlow Butane,,0.0
3588,Denmark,EverGlow Double,,0.0
3592,Denmark,EverGlow Kerosene,,0.0
3596,Denmark,EverGlow Lamp,,0.0
3600,Denmark,EverGlow Single,0.28140402341396065,0.00257809478795171
3604,Denmark,Fairway,-0.3407728038266712,0.0024997970967788182
3608,Denmark,Firefly 2,,0.0
3612,Denmark,Firefly 4,,0.0
3616,Denmark,Firefly Charger,,
3620,Denmark,Firefly Climbing Lamp,,
3624,Denmark,Firefly Extreme,0.7806683359992304,0.011458199057563128
3628,Denmark,Firefly Lite,,0.0
3632,Denmark,Firefly Mapreader,,0.0
3636,Denmark,Firefly Multi-light,,0.0
3640,Denmark,Firefly Rechargeable Battery,,
3644,Denmark,Flicker Lantern,,0.0
3648,Denmark,Glacier Basic,,0.0
3652,Denmark,Glacier Deluxe,,0.0
3656,Denmark,Glacier GPS,-0.8416344909009016,-0.03809135049198643
3660,Denmark,Glacier GPS Extreme,0.0,
3664,Denmark,Granite Axe,,
3668,Denmark,Granite Belay,,
3672,Denmark,Granite Carabiner,,
3676,Denmark,Granite Chalk Bag,,
3680,Denmark,Granite Climbing Helmet,,
3684,Denmark,Granite Extreme,,
3688,Denmark,Granite Grip,,
3692,Denmark,Granite Hammer,,
3696,Denmark,Granite Ice,,
3700,Denmark,Granite Pulley,,
3704,Denmark,Granite Shovel,,
3708,Denmark,Granite Signal Mirror,,
3712,Denmark,Hailstorm Steel Irons,-0.5364088560146406,-0.36361878571735484
3716,Denmark,Hailstorm Steel Woods Set,-0.5874733449784968,-1.0
3720,Denmark,Hailstorm Titanium Irons,,
3724,Denmark,Hailstorm Titanium Woods Set,,
3728,Denmark,Hawk Eye,0.7097766593748364,0.005776433062633383
3732,Denmark,Hibernator,,0.0
3736,Denmark,Hibernator Camp Cot,,0.0
3740,Denmark,Hibernator Extreme,,0.0
3744,Denmark,Hibernator Lite,,0.0
3748,Denmark,Hibernator Pad,0.21631860288450877,0.008593649293172346
3752,Denmark,Hibernator Pillow,,0.0
3756,Denmark,Hibernator Self - Inflating Mat,,0.0
3760,Denmark,Husky Harness,,
3764,Denmark,Husky Harness Extreme,,
3768,Denmark,Husky Rope 100,,
3772,Denmark,Husky Rope 200,,
3776,Denmark,Husky Rope 50,,
3780,Denmark,Husky Rope 60,,
3784,Denmark,Inferno,0.33341495764131746,0.009650564144430591
3788,Denmark,Infinity,0.6460942574389176,0.04270823658316512
3792,Denmark,Insect Bite Relief,,0.0
3796,Denmark,Kodiak,-0.19020286535967412,0.026465244775777406
3800,Denmark,Lady Hailstorm Steel Irons,,0.0
3804,Denmark,Lady Hailstorm Steel Woods Set,,0.0
3808,Denmark,Lady Hailstorm Titanium Irons,,
3812,Denmark,Lady Hailstorm Titanium Woods Set,,
3816,Denmark,Legend,0.08725396528528898,0.03400555189131892
3820,Denmark,Lux,0.8418449175077619,0.00864541220871111
3824,Denmark,Max Gizmo,0.9018982764801543,0.006228526704765169
3828,Denmark,Maximus,0.7545791427684597,0.016603965808017887
3832,Denmark,Mountain Man Analog,,0.0
3836,Denmark,Mountain Man Combination,,0.0
3840,Denmark,Mountain Man Deluxe,,0.0
3844,Denmark,Mountain Man Digital,,0.0
3848,Denmark,Mountain Man Extreme,,0.0
3852,Denmark,Opera Vision,,
3856,Denmark,Pocket Gizmo,0.3113573207909358,0.0020051848350735504
3860,Denmark,Polar Extreme,,0.0
3864,Denmark,Polar Ice,-0.7626670417552107,-0.004296824646586173
3868,Denmark,Polar Sports,,0.0
3872,Denmark,Polar Sun,,0.0
3876,Denmark,Polar Wave,,0.0
3880,Denmark,Ranger Vision,0.3338030922041859,0.024384479940990255
3884,Denmark,Retro,,
3888,Denmark,Sam,0.9159859692011507,0.0065884644580987955
3892,Denmark,Seeker 35,,0.0
3896,Denmark,Seeker 50,,0.0
3900,Denmark,Seeker Extreme,,0.0
3904,Denmark,Seeker Mini,,0.0
3908,Denmark,Single Edge,,0.0
3912,Denmark,Sky Pilot,,
3916,Denmark,Star Dome,,0.0
3920,Denmark,Star Gazer 2,,0.0
3924,Denmark,Star Gazer 3,0.07967168766960012,0.19226858018590928
3928,Denmark,Star Gazer 6,,0.0
3932,Denmark,Star Lite,,0.0
3936,Denmark,Star Peg,,0.0
3940,Denmark,Sun Blocker,,0.0
3944,Denmark,Sun Shelter 15,0.7829052840628125,-0.00012890473939758436
3948,Denmark,Sun Shelter 30,,0.0
3952,Denmark,Sun Shelter Stick,,0.0
3956,Denmark,Sun Shield,,0.0
3960,Denmark,TX,-0.2863594818146759,0.016136112268866604
3964,Denmark,Trail Master,,
3968,Denmark,Trail Scout,,
3972,Denmark,Trail Star,,
3976,Denmark,TrailChef Canteen,0.07505843203074594,0.005070253082971687
3980,Denmark,TrailChef Cook Set,,0.0
3984,Denmark,TrailChef Cup,,0.0
3988,Denmark,TrailChef Deluxe Cook Set,,0.0
3992,Denmark,TrailChef Double Flame,,0.0
3996,Denmark,TrailChef Kettle,,0.0
4000,Denmark,TrailChef Kitchen Kit,,0.0
4004,Denmark,TrailChef Single Flame,,0.0
4008,Denmark,TrailChef Utensils,,0.0
4012,Denmark,TrailChef Water Bag,,0.0
4016,Denmark,Trendi,0.4451192266834256,0.00331178931236484
4020,Denmark,Venue,0.25738661536484836,0.006610499455735549
4024,Denmark,Zodiak,0.4536878679448542,
4028,Denmark,Zone,-0.17042938721723086,0.010181722682937303
4032,Finland,Aloe Relief,,0.0
4036,Finland,Astro Pilot,-0.713059855807793,
4040,Finland,Auto Pilot,,
4044,Finland,Bear Edge,,0.0
4048,Finland,Bear Survival Edge,,0.0
4052,Finland,Bella,0.7340928906088082,0.0027392257121986873
4056,Finland,Blue Steel Max Putter,,0.0
4060,Finland,Blue Steel Putter,-0.7858337624726721,-0.021484123232930863
4064,Finland,BugShield Extreme,,0.0
4068,Finland,BugShield Lotion,,0.0
4072,Finland,BugShield Lotion Lite,,0.0
4076,Finland,BugShield Natural,,0.0
4080,Finland,BugShield Spray,0.39310695494917935,-1.908173462166728e-18
4084,Finland,Calamine Relief,,0.0
4088,Finland,Canyon Mule Carryall,,0.0
4092,Finland,Canyon Mule Climber Backpack,,0.0
4096,Finland,Canyon Mule Cooler,-0.9847597946826048,-0.005729099528781574
4100,Finland,Canyon Mule Extreme Backpack,,0.0
4104,Finland,Canyon Mule Journey Backpack,0.8280177151568122,1.221231015786706e-16
4108,Finland,Canyon Mule Weekender Backpack,,0.0
4112,Finland,Capri,-0.30853773631588816,0.0012632664460963368
4116,Finland,Cat Eye,-0.8545434387286442,-0.0004177044357553245
4120,Finland,Compact Relief Kit,,0.0
4124,Finland,Course Pro Gloves,,0.0
4128,Finland,Course Pro Golf Bag,,0.0
4132,Finland,Course Pro Golf and Tee Set,,0.0
4136,Finland,Course Pro Putter,0.054878762359203095,-0.02451338460877411
4140,Finland,Course Pro Umbrella,,0.0
4144,Finland,Dante,-0.8626289290562971,0.00976402332459646
4148,Finland,Deluxe Family Relief Kit,,0.0
4152,Finland,Double Edge,,0.0
4156,Finland,Edge Extreme,,0.0
4160,Finland,EverGlow Butane,,0.0
4164,Finland,EverGlow Double,,0.0
4168,Finland,EverGlow Kerosene,,0.0
4172,Finland,EverGlow Lamp,,0.0
4176,Finland,EverGlow Single,0.19866641776732982,0.00257809478795171
4180,Finland,Fairway,-0.5719343916006427,0.0026674347097495
4184,Finland,Firefly 2,,0.0
4188,Finland,Firefly 4,,0.0
4192,Finland,Firefly Charger,,
4196,Finland,Firefly Climbing Lamp,,
4200,Finland,Firefly Extreme,0.8848838705364882,0.011458199057563128
4204,Finland,Firefly Lite,-0.6254071427695949,-3.816346924333456e-18
4208,Finland,Firefly Mapreader,,0.0
4212,Finland,Firefly Multi-light,,0.0
4216,Finland,Firefly Rechargeable Battery,,
4220,Finland,Flicker Lantern,,0.0
4224,Finland,Glacier Basic,,0.0
4228,Finland,Glacier Deluxe,,0.0
4232,Finland,Glacier GPS,-0.49858258297222385,-0.03809135049198643
4236,Finland,Glacier GPS Extreme,,0.0
4240,Finland,Granite Axe,,
4244,Finland,Granite Belay,,
4248,Finland,Granite Carabiner,,
4252,Finland,Granite Chalk Bag,,
4256,Finland,Granite Climbing Helmet,,
4260,Finland,Granite Extreme,,
4264,Finland,Granite Grip,,
4268,Finland,Granite Hammer,,
4272,Finland,Granite Ice,,
4276,Finland,Granite Pulley,,
4280,Finland,Granite Shovel,,
4284,Finland,Granite Signal Mirror,,
4288,Finland,Hailstorm Steel Irons,-0.9414337302385664,-0.36361878571735484
4292,Finland,Hailstorm Steel Woods Set,-0.9266483238544125,-1.0
4296,Finland,Hailstorm Titanium Irons,,0.0
4300,Finland,Hailstorm Titanium Woods Set,,0.0
4304,Finland,Hawk Eye,0.44699754833958455,0.005818136696314756
4308,Finland,Hibernator,,0.0
4312,Finland,Hibernator Camp Cot,,0.0
4316,Finland,Hibernator Extreme,,0.0
4320,Finland,Hibernator Lite,,0.0
4324,Finland,Hibernator Pad,0.39906230580049024,0.008593649293172346
4328,Finland,Hibernator Pillow,,0.0
4332,Finland,Hibernator Self - Inflating Mat,,0.0
4336,Finland,Husky Harness,,
4340,Finland,Husky Harness Extreme,,
4344,Finland,Husky Rope 100,,
4348,Finland,Husky Rope 200,,
4352,Finland,Husky Rope 50,,
4356,Finland,Husky Rope 60,,
4360,Finland,Inferno,0.6182593450136187,0.010075065533737207
4364,Finland,Infinity,0.40364289970275674,0.027837191380569684
4368,Finland,Insect Bite Relief,,0.0
4372,Finland,Kodiak,-0.9769622591242982,0.02995206269067163
4376,Finland,Lady Hailstorm Steel Irons,,0.0
4380,Finland,Lady Hailstorm Steel Woods Set,,0.0
4384,Finland,Lady Hailstorm Titanium Irons,,0.0
4388,Finland,Lady Hailstorm Titanium Woods Set,,0.0
4392,Finland,Legend,-0.6137908089247229,0.02832082499033223
4396,Finland,Lux,0.7550283818538343,0.023769411549864644
4400,Finland,Max Gizmo,0.9336934456811021,0.006300730675031135
4404,Finland,Maximus,0.45873023637110266,0.01874704216617251
4408,Finland,Mountain Man Analog,,0.0
4412,Finland,Mountain Man Combination,,0.0
4416,Finland,Mountain Man Deluxe,,0.0
4420,Finland,Mountain Man Digital,,0.0
4424,Finland,Mountain Man Extreme,,0.0
4428,Finland,Opera Vision,,
4432,Finland,Pocket Gizmo,0.07337293905818773,0.0020051848350735504
4436,Finland,Polar Extreme,,0.0
4440,Finland,Polar Ice,-0.39976536579479743,-0.007519443131525802
4444,Finland,Polar Sports,,0.0
4448,Finland,Polar Sun,,0.0
4452,Finland,Polar Wave,,0.0
4456,Finland,Ranger Vision,0.8756410896812595,0.024199098024892892
4460,Finland,Retro,,
4464,Finland,Sam,0.5606063441067165,0.006731691946318336
4468,Finland,Seeker 35,,0.0
4472,Finland,Seeker 50,,0.0
4476,Finland,Seeker Extreme,,0.0
4480,Finland,Seeker Mini,,0.0
4484,Finland,Single Edge,,0.0
4488,Finland,Sky Pilot,,
4492,Finland,Star Dome,,0.0
4496,Finland,Star Gazer 2,,0.0
4500,Finland,Star Gazer 3,0.8820272393997877,0.19226858018590928
4504,Finland,Star Gazer 6,,0.0
4508,Finland,Star Lite,,0.0
4512,Finland,Star Peg,,0.0
4516,Finland,Sun Blocker,,0.0
4520,Finland,Sun Shelter 15,0.8579612497101387,-0.00012890473939758436
4524,Finland,Sun Shelter 30,,0.0
4528,Finland,Sun Shelter Stick,,0.0
4532,Finland,Sun Shield,,0.0
4536,Finland,TX,0.41229001478693966,0.0047811910797920625
4540,Finland,Trail Master,,
4544,Finland,Trail Scout,,
4548,Finland,Trail Star,,
4552,Finland,TrailChef Canteen,0.1156966231187556,0.005070253082971687
4556,Finland,TrailChef Cook Set,,0.0
4560,Finland,TrailChef Cup,,0.0
4564,Finland,TrailChef Deluxe Cook Set,,0.0
4568,Finland,TrailChef Double Flame,,0.0
4572,Finland,TrailChef Kettle,,0.0
4576,Finland,TrailChef Kitchen Kit,,0.0
4580,Finland,TrailChef Single Flame,,0.0
4584,Finland,TrailChef Utensils,,0.0
4588,Finland,TrailChef Water Bag,,0.0
4592,Finland,Trendi,-0.19986829254441174,0.0028620708188315416
4596,Finland,Venue,-0.5589852340563808,0.0066507372778183615
4600,Finland,Zodiak,0.46363549637927504,
4604,Finland,Zone,-0.875883233559795,0.010350817571148243
4608,France,Aloe Relief,,0.0
4612,France,Astro Pilot,-0.40026556223775095,
4616,France,Auto Pilot,,
4620,France,Bear Edge,,0.0
4624,France,Bear Survival Edge,,0.0
4628,France,Bella,0.4912257700965542,0.003793705166215472
4632,France,Blue Steel Max Putter,,0.0
4636,France,Blue Steel Putter,0.12183224419439267,-0.021484123232930863
4640,France,BugShield Extreme,,0.0
4644,France,BugShield Lotion,,0.0
4648,France,BugShield Lotion Lite,,0.0
4652,France,BugShield Natural,,0.0
4656,France,BugShield Spray,0.07696311967921966,0.0
4660,France,Calamine Relief,,0.0
4664,France,Canyon Mule Carryall,,0.0
4668,France,Canyon Mule Climber Backpack,,0.0
4672,France,Canyon Mule Cooler,-0.971996131547568,-0.005729099528781574
4676,France,Canyon Mule Extreme Backpack,,0.0
4680,France,Canyon Mule Journey Backpack,,0.0
4684,France,Canyon Mule Weekender Backpack,,0.0
