,Year,Product,Order method type,Retailer country,Revenue,Quantity,Gross profit
16473,2004,Hailstorm Titanium Woods Set,Telephone,Netherlands,738812.5,625.0,307562.5
16477,2004,Hailstorm Titanium Woods Set,Telephone,France,639516.1,541.0,266226.1
16479,2004,Hailstorm Titanium Woods Set,Telephone,United Kingdom,793189.1,671.0,330199.1
16480,2004,Hailstorm Titanium Woods Set,Telephone,Belgium,25091.22,21.0,10601.22
16482,2004,Hailstorm Titanium Woods Set,Telephone,Austria,78018.6,66.0,32478.6
16485,2004,Hailstorm Titanium Woods Set,Sales visit,United States,550858.6,466.0,229318.6
16487,2004,Hailstorm Titanium Woods Set,Sales visit,Mexico,392457.2,332.0,163377.2
16488,2004,Hailstorm Titanium Woods Set,Sales visit,Brazil,57922.9,49.0,24112.9
16490,2004,Hailstorm Titanium Woods Set,Sales visit,Korea,117027.9,99.0,48717.9
16492,2004,Hailstorm Titanium Woods Set,Sales visit,Singapore,398367.7,337.0,165837.7
16496,2004,Hailstorm Titanium Woods Set,Sales visit,Finland,316802.8,268.0,131882.8
16498,2004,Hailstorm Titanium Woods Set,Sales visit,France,205685.4,174.0,85625.4
16506,2004,Hailstorm Titanium Woods Set,Web,United States,1875992.7,1587.0,780962.7
16507,2004,Hailstorm Titanium Woods Set,Web,Canada,425556.0,360.0,177156.0
16508,2004,Hailstorm Titanium Woods Set,Web,Mexico,134759.4,114.0,56099.4
16509,2004,Hailstorm Titanium Woods Set,Web,Brazil,445651.7,377.0,185521.7
16510,2004,Hailstorm Titanium Woods Set,Web,Japan,210413.8,178.0,87593.8
16511,2004,Hailstorm Titanium Woods Set,Web,Korea,481114.7,407.0,200284.7
16513,2004,Hailstorm Titanium Woods Set,Web,Singapore,403096.1,341.0,167806.1
16515,2004,Hailstorm Titanium Woods Set,Web,Netherlands,72108.1,61.0,30018.1
16517,2004,Hailstorm Titanium Woods Set,Web,Finland,598142.6,506.0,249002.6
16519,2004,Hailstorm Titanium Woods Set,Web,France,359358.4,304.0,149598.4
16520,2004,Hailstorm Titanium Woods Set,Web,Germany,323895.4,274.0,134835.4
16521,2004,Hailstorm Titanium Woods Set,Web,United Kingdom,752997.7,637.0,313467.7
16522,2004,Hailstorm Titanium Woods Set,Web,Belgium,256352.32,213.0,109382.32
16524,2004,Hailstorm Titanium Woods Set,Web,Austria,389178.02,329.0,162168.02
16525,2004,Hailstorm Titanium Woods Set,Web,Italy,152490.9,129.0,63480.9
16526,2004,Hailstorm Titanium Woods Set,Web,Spain,349901.6,296.0,145661.6
16528,2004,Hailstorm Titanium Woods Set,Special,Canada,182043.4,154.0,75783.4
16533,2004,Hailstorm Titanium Woods Set,Special,China,274247.2,232.0,114167.2
16548,2004,Hailstorm Titanium Woods Set,Mail,United States,257697.8,218.0,107277.8
16552,2004,Hailstorm Titanium Woods Set,Mail,Japan,153673.0,130.0,63973.0
16553,2004,Hailstorm Titanium Woods Set,Mail,Korea,611145.7,517.0,254415.7
16555,2004,Hailstorm Titanium Woods Set,Mail,Singapore,287250.3,243.0,119580.3
16568,2004,Hailstorm Titanium Woods Set,Mail,Spain,267154.6,226.0,111214.6
16569,2004,Hailstorm Titanium Woods Set,E-mail,United States,351083.7,297.0,146153.7
16570,2004,Hailstorm Titanium Woods Set,E-mail,Canada,661976.0,560.0,275576.0
16573,2004,Hailstorm Titanium Woods Set,E-mail,Japan,1082803.6,916.0,450763.6
16576,2004,Hailstorm Titanium Woods Set,E-mail,Singapore,115845.8,98.0,48225.8
16579,2004,Hailstorm Titanium Woods Set,E-mail,Sweden,622966.7,527.0,259336.7
16583,2004,Hailstorm Titanium Woods Set,E-mail,Germany,1030791.2,872.0,429111.2
16588,2004,Hailstorm Titanium Woods Set,E-mail,Italy,639516.1,541.0,266226.1
16591,2004,Hailstorm Titanium Woods Set,Fax,Canada,187953.9,159.0,78243.9
16596,2004,Hailstorm Titanium Woods Set,Fax,China,438559.1,371.0,182569.1
16603,2004,Hailstorm Titanium Woods Set,Fax,France,284886.1,241.0,118596.1
16604,2004,Hailstorm Titanium Woods Set,Fax,Germany,124120.5,105.0,51670.5
16610,2004,Hailstorm Titanium Woods Set,Fax,Spain,52012.4,44.0,21652.4
16611,2004,Hailstorm Steel Woods Set,Telephone,United States,1195550.16,1183.0,561355.69
16613,2004,Hailstorm Steel Woods Set,Telephone,Mexico,111256.48,103.0,56039.21
16614,2004,Hailstorm Steel Woods Set,Telephone,Brazil,35645.28,33.0,17954.31
16615,2004,Hailstorm Steel Woods Set,Telephone,Japan,445431.92,447.0,205799.69
16617,2004,Hailstorm Steel Woods Set,Telephone,China,624146.2,608.0,298203.48
16618,2004,Hailstorm Steel Woods Set,Telephone,Singapore,264639.2,245.0,133297.15
16620,2004,Hailstorm Steel Woods Set,Telephone,Netherlands,243036.0,225.0,122415.75
16623,2004,Hailstorm Steel Woods Set,Telephone,Denmark,91070.1,96.0,39605.46
16624,2004,Hailstorm Steel Woods Set,Telephone,France,411691.76,394.0,200472.3
16626,2004,Hailstorm Steel Woods Set,Telephone,United Kingdom,547536.38,521.0,268233.49
16629,2004,Hailstorm Steel Woods Set,Telephone,Austria,153010.74,149.0,73133.33
16632,2004,Hailstorm Steel Woods Set,Sales visit,United States,114496.96,106.0,57671.42
16634,2004,Hailstorm Steel Woods Set,Sales visit,Mexico,161361.78,162.0,74515.2
16635,2004,Hailstorm Steel Woods Set,Sales visit,Brazil,30244.48,28.0,15233.96
16639,2004,Hailstorm Steel Woods Set,Sales visit,Singapore,130397.08,141.0,54808.39
16643,2004,Hailstorm Steel Woods Set,Sales visit,Finland,188388.98,189.0,87067.97
16645,2004,Hailstorm Steel Woods Set,Sales visit,France,272200.32,252.0,137105.64
16648,2004,Hailstorm Steel Woods Set,Sales visit,Belgium,15610.0,14.0,8104.74
16650,2004,Hailstorm Steel Woods Set,Sales visit,Austria,22927.17,21.0,11669.28
16653,2004,Hailstorm Steel Woods Set,Web,United States,1027091.94,1008.0,486713.22
16654,2004,Hailstorm Steel Woods Set,Web,Canada,163254.96,164.0,75336.2
16655,2004,Hailstorm Steel Woods Set,Web,Mexico,211606.62,210.0,99027.72
16656,2004,Hailstorm Steel Woods Set,Web,Brazil,304325.72,303.0,141890.45
16657,2004,Hailstorm Steel Woods Set,Web,Japan,159236.26,163.0,71853.59
16658,2004,Hailstorm Steel Woods Set,Web,Korea,466036.16,473.0,212465.59
16660,2004,Hailstorm Steel Woods Set,Web,Singapore,190374.96,199.0,83693.05
16662,2004,Hailstorm Steel Woods Set,Web,Netherlands,54472.34,67.0,18554.31
16664,2004,Hailstorm Steel Woods Set,Web,Finland,389054.8,377.0,186948.87
16665,2004,Hailstorm Steel Woods Set,Web,Denmark,31324.64,29.0,15778.03
16666,2004,Hailstorm Steel Woods Set,Web,France,140838.74,143.0,64177.87
16667,2004,Hailstorm Steel Woods Set,Web,Germany,157842.56,158.0,73140.34
16668,2004,Hailstorm Steel Woods Set,Web,United Kingdom,410436.92,424.0,183134.76
16669,2004,Hailstorm Steel Woods Set,Web,Belgium,162766.74,156.0,79136.7
16671,2004,Hailstorm Steel Woods Set,Web,Austria,116529.22,114.0,55414.96
16672,2004,Hailstorm Steel Woods Set,Web,Italy,119897.76,111.0,60391.77
16673,2004,Hailstorm Steel Woods Set,Web,Spain,220956.09,231.0,97119.3
16675,2004,Hailstorm Steel Woods Set,Special,Canada,106935.84,99.0,53862.93
16680,2004,Hailstorm Steel Woods Set,Special,China,171745.44,159.0,86507.13
16695,2004,Hailstorm Steel Woods Set,Mail,United States,46446.88,43.0,23395.01
16699,2004,Hailstorm Steel Woods Set,Mail,Japan,41046.08,38.0,20674.66
16700,2004,Hailstorm Steel Woods Set,Mail,Korea,244116.16,226.0,122959.82
16702,2004,Hailstorm Steel Woods Set,Mail,Singapore,178226.4,165.0,89771.55
16704,2004,Hailstorm Steel Woods Set,Mail,Netherlands,182999.78,185.0,83823.13
16708,2004,Hailstorm Steel Woods Set,Mail,France,35772.88,44.0,12184.92
16715,2004,Hailstorm Steel Woods Set,Mail,Spain,93184.01,86.0,47080.27
16716,2004,Hailstorm Steel Woods Set,E-mail,United States,99374.72,92.0,50054.44
16717,2004,Hailstorm Steel Woods Set,E-mail,Canada,604482.92,571.0,298375.53
16720,2004,Hailstorm Steel Woods Set,E-mail,Japan,549150.82,522.0,269311.84
16721,2004,Hailstorm Steel Woods Set,E-mail,Korea,55088.16,51.0,27747.57
16725,2004,Hailstorm Steel Woods Set,E-mail,Netherlands,43206.4,40.0,21762.8
16726,2004,Hailstorm Steel Woods Set,E-mail,Sweden,275835.54,266.0,133235.6
16730,2004,Hailstorm Steel Woods Set,E-mail,Germany,777621.72,758.0,371265.5
16735,2004,Hailstorm Steel Woods Set,E-mail,Italy,382434.3,382.0,177647.92
16736,2004,Hailstorm Steel Woods Set,E-mail,Spain,36725.44,34.0,18498.38
16738,2004,Hailstorm Steel Woods Set,Fax,Canada,33484.96,31.0,16866.17
16743,2004,Hailstorm Steel Woods Set,Fax,China,281991.02,290.0,126524.92
16750,2004,Hailstorm Steel Woods Set,Fax,France,80372.98,89.0,32660.97
16757,2004,Hailstorm Steel Woods Set,Fax,Spain,72370.72,67.0,36452.69
16758,2004,Lady Hailstorm Titanium Woods Set,Telephone,United States,670206.2,530.0,320061.7
16760,2004,Lady Hailstorm Titanium Woods Set,Telephone,Mexico,125189.46,99.0,59785.11
16761,2004,Lady Hailstorm Titanium Woods Set,Telephone,Brazil,95139.7,75.0,45590.95
16762,2004,Lady Hailstorm Titanium Woods Set,Telephone,Japan,287050.58,227.0,137083.03
16764,2004,Lady Hailstorm Titanium Woods Set,Telephone,China,637328.16,504.0,304360.56
16765,2004,Lady Hailstorm Titanium Woods Set,Telephone,Singapore,53110.68,42.0,25363.38
16767,2004,Lady Hailstorm Titanium Woods Set,Telephone,Netherlands,456498.94,361.0,218004.29
16770,2004,Lady Hailstorm Titanium Woods Set,Telephone,Denmark,74607.86,59.0,35629.51
16771,2004,Lady Hailstorm Titanium Woods Set,Telephone,France,469144.34,371.0,224043.19
16773,2004,Lady Hailstorm Titanium Woods Set,Telephone,United Kingdom,539020.44,426.0,257583.54
16774,2004,Lady Hailstorm Titanium Woods Set,Telephone,Belgium,16969.29,13.0,8380.84
16776,2004,Lady Hailstorm Titanium Woods Set,Telephone,Austria,123571.34,96.0,60148.94
16777,2004,Lady Hailstorm Titanium Woods Set,Telephone,Italy,72078.78,57.0,34421.73
16779,2004,Lady Hailstorm Titanium Woods Set,Sales visit,United States,495699.68,392.0,236724.88
16781,2004,Lady Hailstorm Titanium Woods Set,Sales visit,Mexico,257966.16,204.0,123193.56
16784,2004,Lady Hailstorm Titanium Woods Set,Sales visit,Korea,214971.8,170.0,102661.3
16786,2004,Lady Hailstorm Titanium Woods Set,Sales visit,Singapore,65756.08,52.0,31402.28
16792,2004,Lady Hailstorm Titanium Woods Set,Sales visit,France,74934.26,59.0,35955.91
16797,2004,Lady Hailstorm Titanium Woods Set,Sales visit,Austria,29397.22,23.0,14202.27
16800,2004,Lady Hailstorm Titanium Woods Set,Web,United States,1187403.06,939.0,567052.71
16801,2004,Lady Hailstorm Titanium Woods Set,Web,Canada,164390.2,130.0,78505.7
16802,2004,Lady Hailstorm Titanium Woods Set,Web,Mexico,130247.62,103.0,62200.67
16803,2004,Lady Hailstorm Titanium Woods Set,Web,Brazil,279178.0,220.0,133835.0
16804,2004,Lady Hailstorm Titanium Woods Set,Web,Japan,250378.92,198.0,119570.22
16805,2004,Lady Hailstorm Titanium Woods Set,Web,Korea,259230.7,205.0,123797.45
16807,2004,Lady Hailstorm Titanium Woods Set,Web,Singapore,474202.5,375.0,226458.75
16809,2004,Lady Hailstorm Titanium Woods Set,Web,Netherlands,56904.3,45.0,27175.05
16811,2004,Lady Hailstorm Titanium Woods Set,Web,Finland,595598.34,471.0,284432.19
16813,2004,Lady Hailstorm Titanium Woods Set,Web,France,166919.28,132.0,79713.48
16814,2004,Lady Hailstorm Titanium Woods Set,Web,Germany,345219.42,273.0,164861.97
16815,2004,Lady Hailstorm Titanium Woods Set,Web,United Kingdom,488792.44,386.0,233781.54
16816,2004,Lady Hailstorm Titanium Woods Set,Web,Belgium,168659.57,129.0,83435.72
16818,2004,Lady Hailstorm Titanium Woods Set,Web,Austria,161820.27,126.0,78578.37
16819,2004,Lady Hailstorm Titanium Woods Set,Web,Italy,97369.58,77.0,46499.53
16820,2004,Lady Hailstorm Titanium Woods Set,Web,Spain,197268.24,156.0,94206.84
16822,2004,Lady Hailstorm Titanium Woods Set,Special,Canada,204855.48,162.0,97830.18
16827,2004,Lady Hailstorm Titanium Woods Set,Special,China,292108.74,231.0,139498.59
16842,2004,Lady Hailstorm Titanium Woods Set,Mail,United States,113808.6,90.0,54350.1
16846,2004,Lady Hailstorm Titanium Woods Set,Mail,Japan,55639.76,44.0,26571.16
16847,2004,Lady Hailstorm Titanium Woods Set,Mail,Korea,312341.38,247.0,149160.83
16849,2004,Lady Hailstorm Titanium Woods Set,Mail,Singapore,190945.54,151.0,91187.39
16862,2004,Lady Hailstorm Titanium Woods Set,Mail,Spain,141954.88,112.0,67962.08
16863,2004,Lady Hailstorm Titanium Woods Set,E-mail,United States,99898.66,79.0,47707.31
16864,2004,Lady Hailstorm Titanium Woods Set,E-mail,Canada,525110.5,415.0,250940.75
16867,2004,Lady Hailstorm Titanium Woods Set,E-mail,Japan,641121.78,507.0,306172.23
16872,2004,Lady Hailstorm Titanium Woods Set,E-mail,Netherlands,50581.6,40.0,24155.6
16873,2004,Lady Hailstorm Titanium Woods Set,E-mail,Sweden,348428.5,275.0,166749.75
16877,2004,Lady Hailstorm Titanium Woods Set,E-mail,Germany,537429.5,425.0,256653.25
16882,2004,Lady Hailstorm Titanium Woods Set,E-mail,Italy,347748.5,275.0,166069.75
16885,2004,Lady Hailstorm Titanium Woods Set,Fax,Canada,48052.52,38.0,22947.82
16887,2004,Lady Hailstorm Titanium Woods Set,Fax,Brazil,32878.04,26.0,15701.14
16890,2004,Lady Hailstorm Titanium Woods Set,Fax,China,185887.38,147.0,88771.83
16897,2004,Lady Hailstorm Titanium Woods Set,Fax,France,260835.24,206.0,124741.34
16898,2004,Lady Hailstorm Titanium Woods Set,Fax,Germany,82195.1,65.0,39252.85
16904,2004,Lady Hailstorm Titanium Woods Set,Fax,Spain,100197.86,79.0,48006.51
16905,2004,Lady Hailstorm Steel Woods Set,Telephone,United States,942386.22,1112.0,417277.58
16907,2004,Lady Hailstorm Steel Woods Set,Telephone,Mexico,84924.64,100.0,37702.64
16908,2004,Lady Hailstorm Steel Woods Set,Telephone,Brazil,50204.29,59.0,22343.31
16909,2004,Lady Hailstorm Steel Woods Set,Telephone,Japan,299012.18,353.0,132318.52
16911,2004,Lady Hailstorm Steel Woods Set,Telephone,China,343059.3,405.0,151810.2
16912,2004,Lady Hailstorm Steel Woods Set,Telephone,Singapore,214306.18,253.0,94834.52
16914,2004,Lady Hailstorm Steel Woods Set,Telephone,Netherlands,260047.42,307.0,115075.88
16917,2004,Lady Hailstorm Steel Woods Set,Telephone,Denmark,49976.54,59.0,22115.56
16918,2004,Lady Hailstorm Steel Woods Set,Telephone,France,331428.21,391.0,146790.19
16920,2004,Lady Hailstorm Steel Woods Set,Telephone,United Kingdom,450863.67,532.0,199642.63
16921,2004,Lady Hailstorm Steel Woods Set,Telephone,Belgium,21067.35,24.0,9734.07
16923,2004,Lady Hailstorm Steel Woods Set,Telephone,Austria,98049.77,114.0,44216.69
16925,2004,Lady Hailstorm Steel Woods Set,Telephone,Spain,22870.62,27.0,10120.68
16926,2004,Lady Hailstorm Steel Woods Set,Sales visit,United States,55058.9,65.0,24364.6
16928,2004,Lady Hailstorm Steel Woods Set,Sales visit,Mexico,93176.6,110.0,41232.4
16931,2004,Lady Hailstorm Steel Woods Set,Sales visit,Korea,37270.64,44.0,16492.96
16933,2004,Lady Hailstorm Steel Woods Set,Sales visit,Singapore,87247.18,103.0,38608.52
16937,2004,Lady Hailstorm Steel Woods Set,Sales visit,Finland,97411.9,115.0,43106.6
16939,2004,Lady Hailstorm Steel Woods Set,Sales visit,France,152917.19,180.0,67917.59
16944,2004,Lady Hailstorm Steel Woods Set,Sales visit,Austria,26258.86,31.0,11620.04
16945,2004,Lady Hailstorm Steel Woods Set,Sales visit,Italy,52517.72,62.0,23240.08
16947,2004,Lady Hailstorm Steel Woods Set,Web,United States,482195.78,569.0,213502.6
16948,2004,Lady Hailstorm Steel Woods Set,Web,Canada,105263.19,124.0,46707.91
16949,2004,Lady Hailstorm Steel Woods Set,Web,Mexico,218541.48,258.0,96708.72
16950,2004,Lady Hailstorm Steel Woods Set,Web,Brazil,252004.99,297.0,111755.65
16951,2004,Lady Hailstorm Steel Woods Set,Web,Japan,66917.74,79.0,29612.36
16952,2004,Lady Hailstorm Steel Woods Set,Web,Korea,265976.84,314.0,117699.76
16954,2004,Lady Hailstorm Steel Woods Set,Web,Singapore,122823.7,145.0,54351.8
16958,2004,Lady Hailstorm Steel Woods Set,Web,Finland,283765.1,335.0,125571.4
16959,2004,Lady Hailstorm Steel Woods Set,Web,Denmark,43200.06,51.0,19116.84
16960,2004,Lady Hailstorm Steel Woods Set,Web,France,79851.39,94.0,35462.71
16961,2004,Lady Hailstorm Steel Woods Set,Web,Germany,51670.66,61.0,22865.24
16962,2004,Lady Hailstorm Steel Woods Set,Web,United Kingdom,246886.19,291.0,109470.17
16963,2004,Lady Hailstorm Steel Woods Set,Web,Belgium,99234.24,113.0,45873.38
16965,2004,Lady Hailstorm Steel Woods Set,Web,Austria,91619.3,107.0,41091.76
16966,2004,Lady Hailstorm Steel Woods Set,Web,Italy,55058.9,65.0,24364.6
16967,2004,Lady Hailstorm Steel Woods Set,Web,Spain,117413.55,138.0,52247.19
16969,2004,Lady Hailstorm Steel Woods Set,Special,Canada,63101.5,74.0,28157.22
16974,2004,Lady Hailstorm Steel Woods Set,Special,China,190588.5,225.0,84339.0
16994,2004,Lady Hailstorm Steel Woods Set,Mail,Korea,110964.86,131.0,49104.04
16996,2004,Lady Hailstorm Steel Woods Set,Mail,Singapore,79623.64,94.0,35234.96
16998,2004,Lady Hailstorm Steel Woods Set,Mail,Netherlands,134882.96,159.0,59799.98
17009,2004,Lady Hailstorm Steel Woods Set,Mail,Spain,95936.42,113.0,42575.56
17010,2004,Lady Hailstorm Steel Woods Set,E-mail,United States,164329.64,194.0,72718.96
17011,2004,Lady Hailstorm Steel Woods Set,E-mail,Canada,437083.13,515.0,193889.83
17014,2004,Lady Hailstorm Steel Woods Set,E-mail,Japan,424377.06,501.0,187794.84
17015,2004,Lady Hailstorm Steel Woods Set,E-mail,Korea,92329.54,109.0,40857.56
17020,2004,Lady Hailstorm Steel Woods Set,E-mail,Sweden,169639.75,200.0,75195.75
17024,2004,Lady Hailstorm Steel Woods Set,E-mail,Germany,532154.1,628.0,235599.94
17029,2004,Lady Hailstorm Steel Woods Set,E-mail,Italy,226620.52,267.0,100537.78
17030,2004,Lady Hailstorm Steel Woods Set,E-mail,Spain,27105.92,32.0,11994.88
17037,2004,Lady Hailstorm Steel Woods Set,Fax,China,183812.02,217.0,81340.28
17044,2004,Lady Hailstorm Steel Woods Set,Fax,France,59075.73,69.0,26492.55
17045,2004,Lady Hailstorm Steel Woods Set,Fax,Germany,34729.46,41.0,15368.44
17051,2004,Lady Hailstorm Steel Woods Set,Fax,Spain,26258.86,31.0,11620.04
17052,2004,Course Pro Putter,Telephone,United States,1209713.55,18956.0,574157.94
17054,2004,Course Pro Putter,Telephone,Mexico,154039.4,2155.0,78829.9
17055,2004,Course Pro Putter,Telephone,Brazil,122516.72,1714.0,62698.12
17056,2004,Course Pro Putter,Telephone,Japan,452958.61,7667.0,202403.96
17058,2004,Course Pro Putter,Telephone,China,875150.1,13591.0,418072.74
17059,2004,Course Pro Putter,Telephone,Singapore,297213.84,4158.0,152099.64
17061,2004,Course Pro Putter,Telephone,Netherlands,226093.48,3776.0,102156.08
17064,2004,Course Pro Putter,Telephone,Denmark,196599.81,3175.0,91226.28
17065,2004,Course Pro Putter,Telephone,France,536204.81,8472.0,252953.26
17067,2004,Course Pro Putter,Telephone,United Kingdom,515384.46,7636.0,254337.72
17070,2004,Course Pro Putter,Telephone,Austria,259700.16,4305.0,118053.78
17073,2004,Course Pro Putter,Sales visit,United States,127377.36,1782.0,65185.56
17075,2004,Course Pro Putter,Sales visit,Mexico,130772.86,2458.0,53032.4
17080,2004,Course Pro Putter,Sales visit,Singapore,142386.15,2759.0,55913.76
17084,2004,Course Pro Putter,Sales visit,Finland,216716.68,4230.0,84424.04
17086,2004,Course Pro Putter,Sales visit,France,219000.28,3546.0,101416.28
17087,2004,Course Pro Putter,Sales visit,Germany,36454.8,510.0,18655.8
17092,2004,Course Pro Putter,Sales visit,Italy,125398.97,2259.0,53018.92
17094,2004,Course Pro Putter,Web,United States,794605.07,13590.0,351971.26
17095,2004,Course Pro Putter,Web,Canada,160186.68,2241.0,81975.78
17096,2004,Course Pro Putter,Web,Mexico,204851.73,3364.0,93823.5
17097,2004,Course Pro Putter,Web,Brazil,254501.48,4314.0,113587.0
17098,2004,Course Pro Putter,Web,Japan,115225.76,1612.0,58966.96
17099,2004,Course Pro Putter,Web,Korea,595919.21,10092.0,266171.26
17101,2004,Course Pro Putter,Web,Singapore,176603.9,3091.0,76667.14
17103,2004,Course Pro Putter,Web,Netherlands,46533.48,651.0,23813.58
17105,2004,Course Pro Putter,Web,Finland,371481.56,5197.0,190106.26
17106,2004,Course Pro Putter,Web,Denmark,34739.28,486.0,17777.88
17108,2004,Course Pro Putter,Web,Germany,148399.79,2629.0,63723.88
17109,2004,Course Pro Putter,Web,United Kingdom,350072.02,6425.0,145389.26
17110,2004,Course Pro Putter,Web,Belgium,164926.47,2633.0,77203.08
17112,2004,Course Pro Putter,Web,Austria,48606.4,680.0,24874.4
17113,2004,Course Pro Putter,Web,Italy,130879.88,1831.0,66977.98
17114,2004,Course Pro Putter,Web,Spain,269362.78,4271.0,126737.78
17116,2004,Course Pro Putter,Special,Canada,90948.0,1766.0,35632.44
17140,2004,Course Pro Putter,Mail,Japan,63574.08,1504.0,18950.4
17141,2004,Course Pro Putter,Mail,Korea,133167.24,1863.0,68148.54
17143,2004,Course Pro Putter,Mail,Singapore,53681.48,751.0,27471.58
17145,2004,Course Pro Putter,Mail,Netherlands,222792.22,3644.0,102363.32
17149,2004,Course Pro Putter,Mail,France,68358.1,1338.0,26546.72
17156,2004,Course Pro Putter,Mail,Spain,90599.58,1793.0,34749.66
17157,2004,Course Pro Putter,E-mail,United States,141959.28,1986.0,72647.88
17158,2004,Course Pro Putter,E-mail,Canada,545180.25,8032.0,270046.38
17161,2004,Course Pro Putter,E-mail,Japan,600908.65,8895.0,296723.0
17162,2004,Course Pro Putter,E-mail,Korea,122016.36,1707.0,62442.06
17166,2004,Course Pro Putter,E-mail,Netherlands,43459.84,608.0,22240.64
17167,2004,Course Pro Putter,E-mail,Sweden,192591.98,3264.0,85969.0
17171,2004,Course Pro Putter,E-mail,Germany,751225.0,11796.0,356008.64
17176,2004,Course Pro Putter,E-mail,Italy,299940.89,4794.0,140281.78
17179,2004,Course Pro Putter,Fax,Canada,63474.24,888.0,32483.04
17184,2004,Course Pro Putter,Fax,China,307849.77,5413.0,133093.68
17191,2004,Course Pro Putter,Fax,France,109864.76,1537.0,56223.46
17198,2004,Course Pro Putter,Fax,Spain,121873.4,1705.0,62368.9
17199,2004,Blue Steel Putter,Telephone,United States,442625.29,5267.0,225624.89
17201,2004,Blue Steel Putter,Telephone,Mexico,73380.16,799.0,40461.36
17202,2004,Blue Steel Putter,Telephone,Brazil,46379.2,505.0,25573.2
17203,2004,Blue Steel Putter,Telephone,Japan,214125.83,2466.0,112526.63
17205,2004,Blue Steel Putter,Telephone,China,313306.25,3734.0,159465.45
17206,2004,Blue Steel Putter,Telephone,Singapore,121596.16,1324.0,67047.36
17208,2004,Blue Steel Putter,Telephone,Netherlands,108151.19,1349.0,52572.39
17211,2004,Blue Steel Putter,Telephone,Denmark,79106.38,960.0,39554.38
17212,2004,Blue Steel Putter,Telephone,France,187602.01,2141.0,99392.81
17214,2004,Blue Steel Putter,Telephone,United Kingdom,246737.0,3023.0,122189.4
17215,2004,Blue Steel Putter,Telephone,Belgium,5347.17,57.0,2998.77
17217,2004,Blue Steel Putter,Telephone,Austria,93786.08,1095.0,48672.08
17220,2004,Blue Steel Putter,Sales visit,United States,64563.52,703.0,35599.92
17222,2004,Blue Steel Putter,Sales visit,Mexico,51522.24,561.0,28409.04
17225,2004,Blue Steel Putter,Sales visit,Korea,26725.44,291.0,14736.24
17227,2004,Blue Steel Putter,Sales visit,Singapore,66951.36,729.0,36916.56
17231,2004,Blue Steel Putter,Sales visit,Finland,19078.5,322.0,5812.1
17232,2004,Blue Steel Putter,Sales visit,Denmark,8632.96,94.0,4760.16
17233,2004,Blue Steel Putter,Sales visit,France,81370.24,886.0,44867.04
17239,2004,Blue Steel Putter,Sales visit,Italy,69516.45,868.0,33754.85
17241,2004,Blue Steel Putter,Web,United States,319363.35,4103.0,150319.75
17242,2004,Blue Steel Putter,Web,Canada,45920.0,500.0,25320.0
17243,2004,Blue Steel Putter,Web,Mexico,72054.78,1028.0,29701.18
17244,2004,Blue Steel Putter,Web,Brazil,91397.69,1190.0,42369.69
17245,2004,Blue Steel Putter,Web,Japan,88245.68,1117.0,42225.28
17246,2004,Blue Steel Putter,Web,Korea,228336.11,2889.0,109309.31
17248,2004,Blue Steel Putter,Web,Singapore,77721.8,1177.0,29229.4
17252,2004,Blue Steel Putter,Web,Finland,214433.79,2502.0,111351.39
17253,2004,Blue Steel Putter,Web,Denmark,14418.88,157.0,7950.48
17254,2004,Blue Steel Putter,Web,France,74519.56,1074.0,30270.76
17255,2004,Blue Steel Putter,Web,Germany,112504.0,1225.0,62034.0
17256,2004,Blue Steel Putter,Web,United Kingdom,103864.61,1242.0,52694.21
17257,2004,Blue Steel Putter,Web,Belgium,61106.27,731.0,30989.07
17259,2004,Blue Steel Putter,Web,Austria,29412.36,388.0,13426.76
17260,2004,Blue Steel Putter,Web,Italy,17908.8,195.0,9874.8
17261,2004,Blue Steel Putter,Web,Spain,103040.29,1392.0,45689.89
17263,2004,Blue Steel Putter,Special,Canada,56757.12,618.0,31295.52
17268,2004,Blue Steel Putter,Special,China,75951.68,827.0,41879.28
17283,2004,Blue Steel Putter,Mail,United States,39858.56,434.0,21977.76
17287,2004,Blue Steel Putter,Mail,Japan,19745.6,215.0,10887.6
17288,2004,Blue Steel Putter,Mail,Korea,52532.48,572.0,28966.08
17292,2004,Blue Steel Putter,Mail,Netherlands,110207.4,1332.0,55329.0
17303,2004,Blue Steel Putter,Mail,Spain,41787.2,455.0,23041.2
17304,2004,Blue Steel Putter,E-mail,United States,36827.84,401.0,20306.64
17305,2004,Blue Steel Putter,E-mail,Canada,214134.35,2547.0,109197.95
17308,2004,Blue Steel Putter,E-mail,Japan,167034.93,2103.0,80391.33
17309,2004,Blue Steel Putter,E-mail,Korea,29021.44,316.0,16002.24
17314,2004,Blue Steel Putter,E-mail,Sweden,61976.7,782.0,29758.3
17318,2004,Blue Steel Putter,E-mail,Germany,259043.11,3256.0,124895.91
17323,2004,Blue Steel Putter,E-mail,Italy,134130.1,1623.0,67262.5
17324,2004,Blue Steel Putter,E-mail,Spain,17265.92,188.0,9520.32
17326,2004,Blue Steel Putter,Fax,Canada,24796.8,270.0,13672.8
17328,2004,Blue Steel Putter,Fax,Brazil,12490.24,136.0,6887.04
17331,2004,Blue Steel Putter,Fax,China,79704.16,1112.0,33889.76
17338,2004,Blue Steel Putter,Fax,France,27791.59,386.0,11888.39
